Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Approximate Volume Released (m3),Substance,SubstanceCategory,Release Type,Year,What Happened?,Why it Happened?,Pipeline Phase,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2008-037,Release of Substance,18-04-2008,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.80823,-94.18954,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Material Defect,"Individual Factors, Tools and Equipment",Maintenance,,
INC2008-039,Release of Substance,21-04-2008,Regina,Saskatchewan,"Plains Marketing Canada, L.P.",Closed,50.48057,-104.56646,Yes,No,No,No,4,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2008,Equipment Failure,Maintenance,Operation,,
INC2008-040,Release of Substance,25-04-2008,Charlie Lake,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.27973,-120.96341,Yes,No,No,No,Not Provided,Natural Gas - Sour,High Vapour Pressure Product,Gas,2008,Material Defect,"Individual Factors, Leadership and Communication",Operation,,
INC2008-041,Release of Substance,25-04-2008,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.33867,-121.87115,No,No,Yes,No,Not Provided,Natural Gas - Sour,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Maintenance,,
INC2008-043,Fire,01-05-2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73115,-101.2355,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Operating Conditions,Maintenance,Maintenance,,
INC2008-045,Release of Substance,06-05-2008,Herschel,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.63826,-108.3544,Yes,No,No,No,9.4,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2008,Material Defect,Standards and Procedures,Operation,,
INC2008-048,Release of Substance,12-05-2008,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.48386,-104.61447,Yes,No,No,No,7,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2008,Equipment Failure,"Engineering and Planning, Maintenance",Operation,,
INC2008-052,Fire,21-05-2008,Emerson,Manitoba,TransCanada PipeLines Limited,Closed,49.00106,-97.05547,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Maintenance,Operation,,
INC2008-055,Adverse Environmental Effects,31-05-2008,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.47564,-120.37265,Yes,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Maintenance,Operation,,
INC2008-056,Release of Substance,05-06-2008,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5431,-113.35401,Yes,No,No,No,8,Crude Oil - Sweet,Low Vapour Pressure Product,Liquid,2008,Equipment Failure,Maintenance,Operation,,
INC2008-057,Release of Substance,06-06-2008,Maple,Ontario,TransCanada PipeLines Limited,Closed,43.87378,-79.57985,Yes,No,No,No,270,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Cracking ,Standards and Procedures,Operation,,
INC2008-058,Adverse Environmental Effects,09-06-2008,Not specified,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.21594,-66.71029,No,No,No,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Equipment Failure,Maintenance,Construction,,
INC2008-060,Release of Substance,12-06-2008,Portage La Prairie,Manitoba,TransCanada PipeLines Limited,Closed,49.91204,-98.51757,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2008,Equipment Failure,Maintenance,Operation,,
INC2008-062,Fire,24-06-2008,Moyie,British Columbia,TransCanada PipeLines Limited,Closed,49.28795,-115.83383,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2008,Operating Conditions,Standards and Procedures,Operation,,
